調査年月,調査地名,数
202109,出水・高尾野,0
202110,出水・高尾野,230
202111,出水・高尾野,3100
202112,出水・高尾野,11000
202201,出水・高尾野,8000
202202,出水・高尾野,4500
202203,出水・高尾野,1300
202204,出水・高尾野,300
202205,出水・高尾野,0
202109,霧島,0
202110,霧島,0
202111,霧島,379
202112,霧島,646
202201,霧島,283
202202,霧島,567
202203,霧島,70
202204,霧島,3
202205,霧島,0
202109,中海,0
202110,中海,30
202111,中海,0
202112,中海,0
202201,中海,0
202202,中海,0
202203,中海,0
202204,中海,0
202205,中海,0
202109,浜甲子園,0
202110,浜甲子園,0
202111,浜甲子園,10
202112,浜甲子園,5
202201,浜甲子園,0
202202,浜甲子園,6
202203,浜甲子園,18
202204,浜甲子園,6
202205,浜甲子園,0
202109,片野鴨池,3
202110,片野鴨池,247
202111,片野鴨池,3373
202112,片野鴨池,3684
202201,片野鴨池,4836
202202,片野鴨池,5430
202203,片野鴨池,4349
202204,片野鴨池,213
202205,片野鴨池,6
202109,藤前干潟,105
202110,藤前干潟,170
202111,藤前干潟,227
202112,藤前干潟,395
202201,藤前干潟,377
202202,藤前干潟,481
202203,藤前干潟,210
202204,藤前干潟,44
202205,藤前干潟,14
202109,佐潟,6
202110,佐潟,4400
202111,佐潟,39327
202112,佐潟,38939
202201,佐潟,42361
202202,佐潟,38758
202203,佐潟,15156
202204,佐潟,62
202205,佐潟,2
202109,大山上池・下池,19
202110,大山上池・下池,5683
202111,大山上池・下池,22319
202112,大山上池・下池,17050
202201,大山上池・下池,10370
202202,大山上池・下池,2436
202203,大山上池・下池,14321
202204,大山上池・下池,454
202205,大山上池・下池,0
202109,谷津,0
202110,谷津,1
202111,谷津,27
202112,谷津,21
202201,谷津,23
202202,谷津,14
202203,谷津,7
202204,谷津,0
202205,谷津,0
202109,大潟草原,0
202110,大潟草原,75
202111,大潟草原,681
202112,大潟草原,734
202201,大潟草原,0
202202,大潟草原,25
202203,大潟草原,442
202204,大潟草原,32
202205,大潟草原,0
202109,小湊,0
202110,小湊,146
202111,小湊,1625
202112,小湊,1205
202201,小湊,283
202202,小湊,119
202203,小湊,160
202204,小湊,20
202205,小湊,0
202109,伊豆沼,29
202110,伊豆沼,233
202111,伊豆沼,853
202112,伊豆沼,1502
202201,伊豆沼,3328
202202,伊豆沼,3603
202203,伊豆沼,1938
202204,伊豆沼,185
202205,伊豆沼,0
202109,ウトナイ湖,37
202110,ウトナイ湖,150
202111,ウトナイ湖,358
202112,ウトナイ湖,363
202201,ウトナイ湖,125
202202,ウトナイ湖,30
202203,ウトナイ湖,146
202204,ウトナイ湖,37
202205,ウトナイ湖,0
202109,宮島沼,97
202110,宮島沼,191
202111,宮島沼,51
202112,宮島沼,0
202201,宮島沼,0
202202,宮島沼,0
202203,宮島沼,0
202204,宮島沼,4
202205,宮島沼,1
202109,浜頓別クッチャロ湖,0
202110,浜頓別クッチャロ湖,4
202111,浜頓別クッチャロ湖,345
202112,浜頓別クッチャロ湖,389
202201,浜頓別クッチャロ湖,98
202202,浜頓別クッチャロ湖,59
202203,浜頓別クッチャロ湖,128
202204,浜頓別クッチャロ湖,5
202205,浜頓別クッチャロ湖,0
202109,濤沸湖,465
202110,濤沸湖,467
202111,濤沸湖,590
202112,濤沸湖,117
202201,濤沸湖,72
202202,濤沸湖,45
202203,濤沸湖,72
202204,濤沸湖,84
202205,濤沸湖,6
202109,厚岸・別寒辺牛・霧多布,0
202110,厚岸・別寒辺牛・霧多布,0
202111,厚岸・別寒辺牛・霧多布,0
202112,厚岸・別寒辺牛・霧多布,0
202201,厚岸・別寒辺牛・霧多布,0
202202,厚岸・別寒辺牛・霧多布,0
202203,厚岸・別寒辺牛・霧多布,0
202204,厚岸・別寒辺牛・霧多布,0
202205,厚岸・別寒辺牛・霧多布,0
