調査年月,調査地名,数
202109,出水・高尾野,0
202110,出水・高尾野,300
202111,出水・高尾野,41500
202112,出水・高尾野,52000
202201,出水・高尾野,50000
202202,出水・高尾野,4500
202203,出水・高尾野,1330
202204,出水・高尾野,200
202205,出水・高尾野,0
202109,霧島,0
202110,霧島,4
202111,霧島,191
202112,霧島,281
202201,霧島,105
202202,霧島,120
202203,霧島,2
202204,霧島,0
202205,霧島,0
202109,中海,0
202110,中海,0
202111,中海,250
202112,中海,350
202201,中海,320
202202,中海,150
202203,中海,50
202204,中海,0
202205,中海,0
202109,浜甲子園,0
202110,浜甲子園,0
202111,浜甲子園,21
202112,浜甲子園,18
202201,浜甲子園,24
202202,浜甲子園,68
202203,浜甲子園,55
202204,浜甲子園,6
202205,浜甲子園,0
202109,片野鴨池,94
202110,片野鴨池,35
202111,片野鴨池,149
202112,片野鴨池,63
202201,片野鴨池,209
202202,片野鴨池,218
202203,片野鴨池,6
202204,片野鴨池,11
202205,片野鴨池,0
202109,藤前干潟,91
202110,藤前干潟,1399
202111,藤前干潟,2077
202112,藤前干潟,3391
202201,藤前干潟,3284
202202,藤前干潟,1841
202203,藤前干潟,189
202204,藤前干潟,34
202205,藤前干潟,6
202109,佐潟,0
202110,佐潟,660
202111,佐潟,1089
202112,佐潟,206
202201,佐潟,178
202202,佐潟,1476
202203,佐潟,6
202204,佐潟,0
202205,佐潟,0
202109,大山上池・下池,233
202110,大山上池・下池,15624
202111,大山上池・下池,28119
202112,大山上池・下池,8746
202201,大山上池・下池,40
202202,大山上池・下池,6
202203,大山上池・下池,4893
202204,大山上池・下池,23
202205,大山上池・下池,0
202109,谷津,0
202110,谷津,31
202111,谷津,326
202112,谷津,473
202201,谷津,1014
202202,谷津,588
202203,谷津,185
202204,谷津,10
202205,谷津,0
202109,大潟草原,0
202110,大潟草原,0
202111,大潟草原,130
202112,大潟草原,90
202201,大潟草原,0
202202,大潟草原,0
202203,大潟草原,477
202204,大潟草原,0
202205,大潟草原,0
202109,小湊,0
202110,小湊,269
202111,小湊,744
202112,小湊,2831
202201,小湊,740
202202,小湊,599
202203,小湊,1224
202204,小湊,177
202205,小湊,0
202109,伊豆沼,20
202110,伊豆沼,629
202111,伊豆沼,1924
202112,伊豆沼,1414
202201,伊豆沼,2541
202202,伊豆沼,3570
202203,伊豆沼,1980
202204,伊豆沼,1
202205,伊豆沼,0
202109,ウトナイ湖,101
202110,ウトナイ湖,26
202111,ウトナイ湖,8
202112,ウトナイ湖,1
202201,ウトナイ湖,0
202202,ウトナイ湖,0
202203,ウトナイ湖,1380
202204,ウトナイ湖,13
202205,ウトナイ湖,0
202109,宮島沼,631
202110,宮島沼,639
202111,宮島沼,164
202112,宮島沼,0
202201,宮島沼,0
202202,宮島沼,0
202203,宮島沼,0
202204,宮島沼,87
202205,宮島沼,15
202109,浜頓別クッチャロ湖,0
202110,浜頓別クッチャロ湖,56
202111,浜頓別クッチャロ湖,478
202112,浜頓別クッチャロ湖,539
202201,浜頓別クッチャロ湖,461
202202,浜頓別クッチャロ湖,253
202203,浜頓別クッチャロ湖,541
202204,浜頓別クッチャロ湖,4154
202205,浜頓別クッチャロ湖,62
202109,濤沸湖,1321
202110,濤沸湖,1189
202111,濤沸湖,261
202112,濤沸湖,60
202201,濤沸湖,0
202202,濤沸湖,0
202203,濤沸湖,35
202204,濤沸湖,244
202205,濤沸湖,49
202109,厚岸・別寒辺牛・霧多布,0
202110,厚岸・別寒辺牛・霧多布,0
202111,厚岸・別寒辺牛・霧多布,0
202112,厚岸・別寒辺牛・霧多布,0
202201,厚岸・別寒辺牛・霧多布,0
202202,厚岸・別寒辺牛・霧多布,0
202203,厚岸・別寒辺牛・霧多布,0
202204,厚岸・別寒辺牛・霧多布,0
202205,厚岸・別寒辺牛・霧多布,0
