調査年月日,調査地名,種名,数
20211008,浜頓別クッチャロ湖,マガモ,3
20211024,浜頓別クッチャロ湖,マガモ,1
20211107,浜頓別クッチャロ湖,マガモ,111
20211119,浜頓別クッチャロ湖,マガモ,101
20211127,浜頓別クッチャロ湖,マガモ,133
20211210,浜頓別クッチャロ湖,マガモ,111
20211217,浜頓別クッチャロ湖,マガモ,148
20211229,浜頓別クッチャロ湖,マガモ,130
20220110,浜頓別クッチャロ湖,マガモ,25
20220120,浜頓別クッチャロ湖,マガモ,68
20220131,浜頓別クッチャロ湖,マガモ,5
20220210,浜頓別クッチャロ湖,マガモ,49
20220228,浜頓別クッチャロ湖,マガモ,10
20220310,浜頓別クッチャロ湖,マガモ,45
20220320,浜頓別クッチャロ湖,マガモ,67
20220329,浜頓別クッチャロ湖,マガモ,16
20220408,浜頓別クッチャロ湖,マガモ,4
20220415,浜頓別クッチャロ湖,マガモ,1
20210910,宮島沼,マガモ,20
20210917,宮島沼,マガモ,27
20210925,宮島沼,マガモ,50
20211001,宮島沼,マガモ,23
20211016,宮島沼,マガモ,116
20211029,宮島沼,マガモ,52
20211105,宮島沼,マガモ,25
20211118,宮島沼,マガモ,26
20220414,宮島沼,マガモ,4
20220526,宮島沼,マガモ,1
20210916,ウトナイ湖,マガモ,16
20210925,ウトナイ湖,マガモ,21
20211007,ウトナイ湖,マガモ,60
20211014,ウトナイ湖,マガモ,69
20211028,ウトナイ湖,マガモ,21
20211104,ウトナイ湖,マガモ,154
20211118,ウトナイ湖,マガモ,64
20211126,ウトナイ湖,マガモ,140
20211202,ウトナイ湖,マガモ,138
20211216,ウトナイ湖,マガモ,125
20211225,ウトナイ湖,マガモ,100
20220108,ウトナイ湖,マガモ,50
20220114,ウトナイ湖,マガモ,1
20220127,ウトナイ湖,マガモ,74
20220203,ウトナイ湖,マガモ,5
20220217,ウトナイ湖,マガモ,25
20220302,ウトナイ湖,マガモ,10
20220317,ウトナイ湖,マガモ,101
20220325,ウトナイ湖,マガモ,35
20220410,ウトナイ湖,マガモ,33
20220426,ウトナイ湖,マガモ,4
20210902,濤沸湖,マガモ,307
20210915,濤沸湖,マガモ,124
20210924,濤沸湖,マガモ,34
20211006,濤沸湖,マガモ,166
20211014,濤沸湖,マガモ,220
20211028,濤沸湖,マガモ,81
20211106,濤沸湖,マガモ,230
20211116,濤沸湖,マガモ,63
20211125,濤沸湖,マガモ,297
20211208,濤沸湖,マガモ,42
20211216,濤沸湖,マガモ,69
20211223,濤沸湖,マガモ,6
20220107,濤沸湖,マガモ,13
20220119,濤沸湖,マガモ,32
20220128,濤沸湖,マガモ,27
20220209,濤沸湖,マガモ,24
20220216,濤沸湖,マガモ,9
20220224,濤沸湖,マガモ,12
20220309,濤沸湖,マガモ,20
20220317,濤沸湖,マガモ,40
20220330,濤沸湖,マガモ,12
20220408,濤沸湖,マガモ,52
20220414,濤沸湖,マガモ,27
20220427,濤沸湖,マガモ,5
20220526,濤沸湖,マガモ,6
20211014,野付半島・野付湾,マガモ,10
20211105,野付半島・野付湾,マガモ,6
20210907,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,マガモ,211
20211007,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,マガモ,23
20211020,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,マガモ,334
20211029,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,マガモ,627
20211117,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,マガモ,227
20211129,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,マガモ,155
20211207,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,マガモ,332
20211216,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,マガモ,698
20211229,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,マガモ,513
20220109,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,マガモ,433
20220120,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,マガモ,353
20220128,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,マガモ,251
20220209,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,マガモ,58
20220218,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,マガモ,82
20220226,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,マガモ,33
20220311,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,マガモ,66
20220318,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,マガモ,127
20220417,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,マガモ,164
20220429,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,マガモ,877
20220507,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,マガモ,176
20220519,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,マガモ,36
20211003,厚岸・別寒辺牛・霧多布（琵琶瀬川下流）,マガモ,16
20211023,厚岸・別寒辺牛・霧多布（琵琶瀬川下流）,マガモ,16
20211101,厚岸・別寒辺牛・霧多布（琵琶瀬川下流）,マガモ,56
20211111,厚岸・別寒辺牛・霧多布（琵琶瀬川下流）,マガモ,71
20220102,厚岸・別寒辺牛・霧多布（琵琶瀬川下流）,マガモ,3
20220313,厚岸・別寒辺牛・霧多布（琵琶瀬川下流）,マガモ,22
20220323,厚岸・別寒辺牛・霧多布（琵琶瀬川下流）,マガモ,19
20220508,厚岸・別寒辺牛・霧多布（琵琶瀬川下流）,マガモ,2
20210905,風蓮湖 根室市側,マガモ,13
20210920,風蓮湖 根室市側,マガモ,18
20210926,風蓮湖 根室市側,マガモ,34
20211003,風蓮湖 根室市側,マガモ,8
20211017,風蓮湖 根室市側,マガモ,24
20211027,風蓮湖 根室市側,マガモ,36
20211107,風蓮湖 根室市側,マガモ,54
20211114,風蓮湖 根室市側,マガモ,19
20211127,風蓮湖 根室市側,マガモ,8
20211205,風蓮湖 根室市側,マガモ,23
20220321,風蓮湖 根室市側,マガモ,14
20220327,風蓮湖 根室市側,マガモ,18
20220407,風蓮湖 根室市側,マガモ,8
20220416,風蓮湖 根室市側,マガモ,14
20220505,風蓮湖 根室市側,マガモ,8
20220515,風蓮湖 根室市側,マガモ,2
20220529,風蓮湖 根室市側,マガモ,4
20211006,風蓮湖 別海町側,マガモ,180
20211027,風蓮湖 別海町側,マガモ,5
20211106,風蓮湖 別海町側,マガモ,86
20220508,風蓮湖 別海町側,マガモ,2
20211012,小湊,マガモ,31
20211026,小湊,マガモ,115
20211103,小湊,マガモ,171
20211116,小湊,マガモ,704
20211122,小湊,マガモ,750
20211203,小湊,マガモ,281
20211214,小湊,マガモ,545
20211221,小湊,マガモ,379
20220105,小湊,マガモ,54
20220111,小湊,マガモ,91
20220125,小湊,マガモ,138
20220201,小湊,マガモ,26
20220215,小湊,マガモ,84
20220223,小湊,マガモ,9
20220302,小湊,マガモ,49
20220316,小湊,マガモ,78
20220322,小湊,マガモ,33
20220405,小湊,マガモ,8
20220412,小湊,マガモ,12
20211008,十和田湖,マガモ,2
20211118,十和田湖,マガモ,57
20211129,十和田湖,マガモ,9
20211207,十和田湖,マガモ,9
20211216,十和田湖,マガモ,51
20211226,十和田湖,マガモ,76
20220105,十和田湖,マガモ,57
20220117,十和田湖,マガモ,16
20220126,十和田湖,マガモ,18
20220208,十和田湖,マガモ,20
20220216,十和田湖,マガモ,25
20220305,十和田湖,マガモ,2
20211014,大潟草原,マガモ,12
20211023,大潟草原,マガモ,63
20211105,大潟草原,マガモ,20
20211116,大潟草原,マガモ,182
20211126,大潟草原,マガモ,479
20211206,大潟草原,マガモ,60
20211214,大潟草原,マガモ,515
20211224,大潟草原,マガモ,159
20220202,大潟草原,マガモ,6
20220225,大潟草原,マガモ,19
20220303,大潟草原,マガモ,84
20220313,大潟草原,マガモ,283
20220326,大潟草原,マガモ,75
20220406,大潟草原,マガモ,23
20220417,大潟草原,マガモ,5
20220425,大潟草原,マガモ,4
20210919,伊豆沼,マガモ,6
20210922,伊豆沼,マガモ,23
20211005,伊豆沼,マガモ,158
20211013,伊豆沼,マガモ,40
20211024,伊豆沼,マガモ,35
20211101,伊豆沼,マガモ,218
20211111,伊豆沼,マガモ,352
20211127,伊豆沼,マガモ,283
20211203,伊豆沼,マガモ,220
20211215,伊豆沼,マガモ,512
20211227,伊豆沼,マガモ,770
20220106,伊豆沼,マガモ,1402
20220113,伊豆沼,マガモ,945
20220122,伊豆沼,マガモ,981
20220203,伊豆沼,マガモ,1473
20220214,伊豆沼,マガモ,1240
20220221,伊豆沼,マガモ,890
20220301,伊豆沼,マガモ,911
20220311,伊豆沼,マガモ,291
20220322,伊豆沼,マガモ,736
20220405,伊豆沼,マガモ,96
20220413,伊豆沼,マガモ,81
20220423,伊豆沼,マガモ,8
20210901,大山上池・下池,マガモ,2
20210913,大山上池・下池,マガモ,8
20210921,大山上池・下池,マガモ,9
20211004,大山上池・下池,マガモ,46
20211013,大山上池・下池,マガモ,983
20211022,大山上池・下池,マガモ,4654
20211102,大山上池・下池,マガモ,3993
20211116,大山上池・下池,マガモ,10076
20211122,大山上池・下池,マガモ,8250
20211203,大山上池・下池,マガモ,4250
20211214,大山上池・下池,マガモ,6400
20211222,大山上池・下池,マガモ,6400
20220106,大山上池・下池,マガモ,3050
20220115,大山上池・下池,マガモ,4270
20220124,大山上池・下池,マガモ,3050
20220201,大山上池・下池,マガモ,1450
20220214,大山上池・下池,マガモ,953
20220224,大山上池・下池,マガモ,33
20220301,大山上池・下池,マガモ,521
20220316,大山上池・下池,マガモ,7700
20220322,大山上池・下池,マガモ,6100
20220401,大山上池・下池,マガモ,412
20220411,大山上池・下池,マガモ,38
20220421,大山上池・下池,マガモ,4
20211024,谷津,マガモ,1
20211103,谷津,マガモ,2
20211114,谷津,マガモ,23
20211121,谷津,マガモ,2
20211205,谷津,マガモ,5
20211212,谷津,マガモ,5
20211226,谷津,マガモ,11
20220101,谷津,マガモ,9
20220116,谷津,マガモ,5
20220123,谷津,マガモ,9
20220206,谷津,マガモ,5
20220212,谷津,マガモ,7
20220223,谷津,マガモ,2
20220305,谷津,マガモ,3
20220312,谷津,マガモ,2
20220327,谷津,マガモ,2
20210929,片野鴨池,マガモ,3
20211005,片野鴨池,マガモ,4
20211014,片野鴨池,マガモ,10
20211022,片野鴨池,マガモ,233
20211104,片野鴨池,マガモ,338
20211115,片野鴨池,マガモ,1949
20211128,片野鴨池,マガモ,1086
20211203,片野鴨池,マガモ,844
20211211,片野鴨池,マガモ,2017
20211227,片野鴨池,マガモ,823
20220108,片野鴨池,マガモ,1305
20220115,片野鴨池,マガモ,2187
20220122,片野鴨池,マガモ,1344
20220203,片野鴨池,マガモ,1954
20220211,片野鴨池,マガモ,1863
20220223,片野鴨池,マガモ,1613
20220303,片野鴨池,マガモ,1716
20220311,片野鴨池,マガモ,1788
20220328,片野鴨池,マガモ,845
20220405,片野鴨池,マガモ,195
20220416,片野鴨池,マガモ,12
20220425,片野鴨池,マガモ,6
20220503,片野鴨池,マガモ,5
20220515,片野鴨池,マガモ,1
20210917,佐潟,マガモ,3
20210924,佐潟,マガモ,3
20211001,佐潟,マガモ,41
20211015,佐潟,マガモ,188
20211022,佐潟,マガモ,4171
20211105,佐潟,マガモ,5898
20211112,佐潟,マガモ,12674
20211126,佐潟,マガモ,20755
20211203,佐潟,マガモ,11828
20211217,佐潟,マガモ,14629
20211224,佐潟,マガモ,12482
20220107,佐潟,マガモ,14879
20220114,佐潟,マガモ,11410
20220128,佐潟,マガモ,16072
20220204,佐潟,マガモ,11073
20220211,佐潟,マガモ,13960
20220225,佐潟,マガモ,13725
20220304,佐潟,マガモ,10240
20220318,佐潟,マガモ,3712
20220325,佐潟,マガモ,1204
20220408,佐潟,マガモ,37
20220415,佐潟,マガモ,17
20220429,佐潟,マガモ,8
20220506,佐潟,マガモ,2
20210901,藤前干潟,マガモ,39
20210915,藤前干潟,マガモ,47
20210922,藤前干潟,マガモ,19
20211004,藤前干潟,マガモ,87
20211013,藤前干潟,マガモ,23
20211027,藤前干潟,マガモ,60
20211110,藤前干潟,マガモ,73
20211117,藤前干潟,マガモ,154
20211208,藤前干潟,マガモ,91
20211215,藤前干潟,マガモ,159
20211229,藤前干潟,マガモ,145
20220105,藤前干潟,マガモ,142
20220112,藤前干潟,マガモ,135
20220126,藤前干潟,マガモ,100
20220202,藤前干潟,マガモ,179
20220216,藤前干潟,マガモ,187
20220223,藤前干潟,マガモ,115
20220309,藤前干潟,マガモ,73
20220316,藤前干潟,マガモ,65
20220323,藤前干潟,マガモ,72
20220406,藤前干潟,マガモ,21
20220413,藤前干潟,マガモ,17
20220427,藤前干潟,マガモ,6
20220506,藤前干潟,マガモ,4
20220511,藤前干潟,マガモ,5
20220525,藤前干潟,マガモ,5
20211107,浜甲子園,マガモ,7
20211115,浜甲子園,マガモ,3
20211202,浜甲子園,マガモ,3
20211214,浜甲子園,マガモ,2
20220202,浜甲子園,マガモ,2
20220216,浜甲子園,マガモ,2
20220225,浜甲子園,マガモ,2
20220309,浜甲子園,マガモ,4
20220317,浜甲子園,マガモ,6
20220324,浜甲子園,マガモ,8
20220401,浜甲子園,マガモ,5
20220415,浜甲子園,マガモ,1
20211029,中海,マガモ,30
20211019,宍道湖,マガモ,19
20211028,宍道湖,マガモ,1
20211108,宍道湖,マガモ,36
20211117,宍道湖,マガモ,16
20211126,宍道湖,マガモ,34
20211206,宍道湖,マガモ,21
20211217,宍道湖,マガモ,62
20211224,宍道湖,マガモ,10
20220106,宍道湖,マガモ,46
20220118,宍道湖,マガモ,20
20220128,宍道湖,マガモ,26
20220207,宍道湖,マガモ,36
20220217,宍道湖,マガモ,17
20220221,宍道湖,マガモ,30
20220307,宍道湖,マガモ,29
20220317,宍道湖,マガモ,21
20211107,霧島,マガモ,56
20211114,霧島,マガモ,170
20211121,霧島,マガモ,153
20211206,霧島,マガモ,153
20211212,霧島,マガモ,123
20211219,霧島,マガモ,370
20220109,霧島,マガモ,140
20220116,霧島,マガモ,143
20220201,霧島,マガモ,194
20220206,霧島,マガモ,60
20220213,霧島,マガモ,145
20220227,霧島,マガモ,168
20220306,霧島,マガモ,40
20220313,霧島,マガモ,4
20220320,霧島,マガモ,26
20220403,霧島,マガモ,3
20211016,出水・高尾野,マガモ,30
20211024,出水・高尾野,マガモ,200
20211107,出水・高尾野,マガモ,100
20211117,出水・高尾野,マガモ,1000
20211128,出水・高尾野,マガモ,2000
20211205,出水・高尾野,マガモ,4000
20211215,出水・高尾野,マガモ,2000
20211226,出水・高尾野,マガモ,5000
20220109,出水・高尾野,マガモ,3000
20220118,出水・高尾野,マガモ,3000
20220130,出水・高尾野,マガモ,2000
20220206,出水・高尾野,マガモ,2000
20220213,出水・高尾野,マガモ,2000
20220227,出水・高尾野,マガモ,500
20220308,出水・高尾野,マガモ,300
20220320,出水・高尾野,マガモ,500
20220327,出水・高尾野,マガモ,500
20220408,出水・高尾野,マガモ,200
20220417,出水・高尾野,マガモ,50
20220426,出水・高尾野,マガモ,50
20211014,大野川河口,マガモ,2
20211031,大野川河口,マガモ,3
20211103,大野川河口,マガモ,2
20211127,大野川河口,マガモ,9
20211212,大野川河口,マガモ,12
20211218,大野川河口,マガモ,3
20220109,大野川河口,マガモ,3
20220202,大野川河口,マガモ,1
20220315,大野川河口,マガモ,10
20220317,大野川河口,マガモ,4
20211008,阿武隈川西田堂坂,マガモ,4
20211023,阿武隈川西田堂坂,マガモ,15
20211107,阿武隈川西田堂坂,マガモ,3
20211125,阿武隈川西田堂坂,マガモ,29
20211209,阿武隈川西田堂坂,マガモ,66
20211223,阿武隈川西田堂坂,マガモ,39
20220107,阿武隈川西田堂坂,マガモ,320
20220122,阿武隈川西田堂坂,マガモ,320
20220208,阿武隈川西田堂坂,マガモ,390
20220224,阿武隈川西田堂坂,マガモ,500
20220307,阿武隈川西田堂坂,マガモ,220
20220321,阿武隈川西田堂坂,マガモ,100
20211020,千波湖,マガモ,5
20211102,千波湖,マガモ,9
20211121,千波湖,マガモ,9
20211203,千波湖,マガモ,25
20211220,千波湖,マガモ,18
20220103,千波湖,マガモ,22
20220121,千波湖,マガモ,33
20220202,千波湖,マガモ,31
20220222,千波湖,マガモ,9
20220301,千波湖,マガモ,7
20220315,千波湖,マガモ,29
20211008,加戸大堤,マガモ,8
20211026,加戸大堤,マガモ,143
20211105,加戸大堤,マガモ,386
20211120,加戸大堤,マガモ,751
20211205,加戸大堤,マガモ,1492
20211225,加戸大堤,マガモ,1508
20220108,加戸大堤,マガモ,1107
20220125,加戸大堤,マガモ,785
20220204,加戸大堤,マガモ,1231
20220219,加戸大堤,マガモ,1992
20220304,加戸大堤,マガモ,1051
20220320,加戸大堤,マガモ,816
20211022,小諸発電所第一調整池,マガモ,42
20211105,小諸発電所第一調整池,マガモ,54
20211125,小諸発電所第一調整池,マガモ,88
20211209,小諸発電所第一調整池,マガモ,79
20211223,小諸発電所第一調整池,マガモ,101
20220107,小諸発電所第一調整池,マガモ,30
20220121,小諸発電所第一調整池,マガモ,37
20220207,小諸発電所第一調整池,マガモ,35
20220224,小諸発電所第一調整池,マガモ,6
20220307,小諸発電所第一調整池,マガモ,36
20220325,小諸発電所第一調整池,マガモ,14
20211123,瀬戸川河口,マガモ,8
20211004,琵琶湖,マガモ,45
20211015,琵琶湖,マガモ,33
20211028,琵琶湖,マガモ,27
20211108,琵琶湖,マガモ,126
20211117,琵琶湖,マガモ,118
20211126,琵琶湖,マガモ,307
20211208,琵琶湖,マガモ,350
20211216,琵琶湖,マガモ,402
20211224,琵琶湖,マガモ,125
20220103,琵琶湖,マガモ,402
20220110,琵琶湖,マガモ,208
20220123,琵琶湖,マガモ,563
20220203,琵琶湖,マガモ,408
20220214,琵琶湖,マガモ,386
20220221,琵琶湖,マガモ,484
20220307,琵琶湖,マガモ,624
20220316,琵琶湖,マガモ,302
20220324,琵琶湖,マガモ,186
20211007,大阪城公園,マガモ,1
20211028,大阪城公園,マガモ,9
20211110,大阪城公園,マガモ,19
20211126,大阪城公園,マガモ,7
20211206,大阪城公園,マガモ,5
20211227,大阪城公園,マガモ,11
20220110,大阪城公園,マガモ,19
20220121,大阪城公園,マガモ,9
20220203,大阪城公園,マガモ,16
20220222,大阪城公園,マガモ,15
20220312,大阪城公園,マガモ,13
20220324,大阪城公園,マガモ,6
20211019,倉敷市岡田大池,マガモ,5
20211106,倉敷市岡田大池,マガモ,25
20211123,倉敷市岡田大池,マガモ,50
20211204,倉敷市岡田大池,マガモ,82
20211223,倉敷市岡田大池,マガモ,65
20220113,倉敷市岡田大池,マガモ,99
20220125,倉敷市岡田大池,マガモ,85
20220203,倉敷市岡田大池,マガモ,61
20220224,倉敷市岡田大池,マガモ,54
20220306,倉敷市岡田大池,マガモ,87
20220327,倉敷市岡田大池,マガモ,4
20211016,八幡川河口,マガモ,4
20211107,八幡川河口,マガモ,54
20211120,八幡川河口,マガモ,104
20211208,八幡川河口,マガモ,99
20211226,八幡川河口,マガモ,98
20220109,八幡川河口,マガモ,91
20220122,八幡川河口,マガモ,135
20220206,八幡川河口,マガモ,101
20220220,八幡川河口,マガモ,108
20220306,八幡川河口,マガモ,134
20220319,八幡川河口,マガモ,137
20211002,御手洗川河口,マガモ,7
20211016,御手洗川河口,マガモ,2
20211106,御手洗川河口,マガモ,12
20211120,御手洗川河口,マガモ,46
20211208,御手洗川河口,マガモ,66
20211225,御手洗川河口,マガモ,44
20220110,御手洗川河口,マガモ,48
20220122,御手洗川河口,マガモ,54
20220206,御手洗川河口,マガモ,64
20220220,御手洗川河口,マガモ,46
20220305,御手洗川河口,マガモ,14
20220319,御手洗川河口,マガモ,40
20211028,きらら浜／土路石川河口,マガモ,40
20211109,きらら浜／土路石川河口,マガモ,56
20211127,きらら浜／土路石川河口,マガモ,344
20211212,きらら浜／土路石川河口,マガモ,261
20211222,きらら浜／土路石川河口,マガモ,218
20220109,きらら浜／土路石川河口,マガモ,290
20220129,きらら浜／土路石川河口,マガモ,196
20220209,きらら浜／土路石川河口,マガモ,163
20220226,きらら浜／土路石川河口,マガモ,109
20220313,きらら浜／土路石川河口,マガモ,35
20220327,きらら浜／土路石川河口,マガモ,26
20211022,姫田中池,マガモ,172
20211109,姫田中池,マガモ,311
20211125,姫田中池,マガモ,241
20211206,姫田中池,マガモ,361
20211220,姫田中池,マガモ,267
20220107,姫田中池,マガモ,351
20220121,姫田中池,マガモ,311
20220209,姫田中池,マガモ,356
20220223,姫田中池,マガモ,306
20220309,姫田中池,マガモ,312
20220325,姫田中池,マガモ,191
