調査年月日,調査地名,種名,数
20211008,浜頓別クッチャロ湖,オオハクチョウ,4
20211024,浜頓別クッチャロ湖,オオハクチョウ,1
20211210,浜頓別クッチャロ湖,オオハクチョウ,8
20211217,浜頓別クッチャロ湖,オオハクチョウ,6
20211229,浜頓別クッチャロ湖,オオハクチョウ,11
20220110,浜頓別クッチャロ湖,オオハクチョウ,8
20220131,浜頓別クッチャロ湖,オオハクチョウ,6
20220210,浜頓別クッチャロ湖,オオハクチョウ,11
20220228,浜頓別クッチャロ湖,オオハクチョウ,6
20220310,浜頓別クッチャロ湖,オオハクチョウ,20
20220320,浜頓別クッチャロ湖,オオハクチョウ,72
20220329,浜頓別クッチャロ湖,オオハクチョウ,16
20220408,浜頓別クッチャロ湖,オオハクチョウ,38
20220415,浜頓別クッチャロ湖,オオハクチョウ,14
20220428,浜頓別クッチャロ湖,オオハクチョウ,54
20211016,宮島沼,オオハクチョウ,23
20211105,宮島沼,オオハクチョウ,35
20211118,宮島沼,オオハクチョウ,54
20211125,宮島沼,オオハクチョウ,13
20211208,宮島沼,オオハクチョウ,30
20220414,宮島沼,オオハクチョウ,465
20220429,宮島沼,オオハクチョウ,2
20220508,宮島沼,オオハクチョウ,2
20220513,宮島沼,オオハクチョウ,2
20210904,ウトナイ湖,オオハクチョウ,2
20210916,ウトナイ湖,オオハクチョウ,3
20210925,ウトナイ湖,オオハクチョウ,2
20211007,ウトナイ湖,オオハクチョウ,3
20211014,ウトナイ湖,オオハクチョウ,142
20211028,ウトナイ湖,オオハクチョウ,60
20211104,ウトナイ湖,オオハクチョウ,15
20211118,ウトナイ湖,オオハクチョウ,30
20211126,ウトナイ湖,オオハクチョウ,18
20211202,ウトナイ湖,オオハクチョウ,7
20211216,ウトナイ湖,オオハクチョウ,29
20211225,ウトナイ湖,オオハクチョウ,8
20220108,ウトナイ湖,オオハクチョウ,9
20220114,ウトナイ湖,オオハクチョウ,17
20220127,ウトナイ湖,オオハクチョウ,19
20220203,ウトナイ湖,オオハクチョウ,10
20220217,ウトナイ湖,オオハクチョウ,9
20220225,ウトナイ湖,オオハクチョウ,1
20220302,ウトナイ湖,オオハクチョウ,2
20220317,ウトナイ湖,オオハクチョウ,30
20220325,ウトナイ湖,オオハクチョウ,4
20220410,ウトナイ湖,オオハクチョウ,4
20211014,濤沸湖,オオハクチョウ,3
20211106,濤沸湖,オオハクチョウ,2
20211116,濤沸湖,オオハクチョウ,7
20211125,濤沸湖,オオハクチョウ,21
20211208,濤沸湖,オオハクチョウ,7
20211216,濤沸湖,オオハクチョウ,18
20211223,濤沸湖,オオハクチョウ,8
20220107,濤沸湖,オオハクチョウ,58
20220119,濤沸湖,オオハクチョウ,25
20220128,濤沸湖,オオハクチョウ,58
20220209,濤沸湖,オオハクチョウ,12
20220216,濤沸湖,オオハクチョウ,33
20220224,濤沸湖,オオハクチョウ,25
20220309,濤沸湖,オオハクチョウ,8
20220330,濤沸湖,オオハクチョウ,5
20220408,濤沸湖,オオハクチョウ,3
20220414,濤沸湖,オオハクチョウ,3
20211006,野付半島・野付湾,オオハクチョウ,1
20211014,野付半島・野付湾,オオハクチョウ,15
20211030,野付半島・野付湾,オオハクチョウ,105
20211105,野付半島・野付湾,オオハクチョウ,76
20211118,野付半島・野付湾,オオハクチョウ,292
20211125,野付半島・野付湾,オオハクチョウ,128
20211206,野付半島・野付湾,オオハクチョウ,139
20211215,野付半島・野付湾,オオハクチョウ,85
20211224,野付半島・野付湾,オオハクチョウ,141
20220315,野付半島・野付湾,オオハクチョウ,2
20220327,野付半島・野付湾,オオハクチョウ,68
20220403,野付半島・野付湾,オオハクチョウ,200
20220413,野付半島・野付湾,オオハクチョウ,250
20220424,野付半島・野付湾,オオハクチョウ,455
20211007,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オオハクチョウ,100
20211020,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オオハクチョウ,949
20211029,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オオハクチョウ,1523
20211117,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オオハクチョウ,2356
20211129,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オオハクチョウ,2032
20211207,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オオハクチョウ,2179
20211216,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オオハクチョウ,2100
20211229,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オオハクチョウ,1461
20220109,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オオハクチョウ,1474
20220120,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オオハクチョウ,1496
20220128,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オオハクチョウ,1439
20220209,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オオハクチョウ,1482
20220218,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オオハクチョウ,1316
20220226,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オオハクチョウ,1193
20220311,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オオハクチョウ,750
20220318,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オオハクチョウ,54
20220417,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オオハクチョウ,9
20220429,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オオハクチョウ,3
20220507,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オオハクチョウ,4
