調査年月日,調査地名,種名,数
20211024,浜頓別クッチャロ湖,オナガガモ,56
20211107,浜頓別クッチャロ湖,オナガガモ,15
20211119,浜頓別クッチャロ湖,オナガガモ,215
20211127,浜頓別クッチャロ湖,オナガガモ,248
20211210,浜頓別クッチャロ湖,オナガガモ,274
20211217,浜頓別クッチャロ湖,オナガガモ,124
20211229,浜頓別クッチャロ湖,オナガガモ,141
20220110,浜頓別クッチャロ湖,オナガガモ,166
20220120,浜頓別クッチャロ湖,オナガガモ,284
20220131,浜頓別クッチャロ湖,オナガガモ,11
20220210,浜頓別クッチャロ湖,オナガガモ,195
20220228,浜頓別クッチャロ湖,オナガガモ,58
20220310,浜頓別クッチャロ湖,オナガガモ,102
20220320,浜頓別クッチャロ湖,オナガガモ,115
20220329,浜頓別クッチャロ湖,オナガガモ,324
20220408,浜頓別クッチャロ湖,オナガガモ,820
20220415,浜頓別クッチャロ湖,オナガガモ,1960
20220428,浜頓別クッチャロ湖,オナガガモ,1374
20220507,浜頓別クッチャロ湖,オナガガモ,51
20220529,浜頓別クッチャロ湖,オナガガモ,11
20210910,宮島沼,オナガガモ,8
20210917,宮島沼,オナガガモ,238
20210925,宮島沼,オナガガモ,385
20211001,宮島沼,オナガガモ,127
20211016,宮島沼,オナガガモ,334
20211029,宮島沼,オナガガモ,178
20211105,宮島沼,オナガガモ,4
20211118,宮島沼,オナガガモ,160
20220414,宮島沼,オナガガモ,79
20220429,宮島沼,オナガガモ,8
20220508,宮島沼,オナガガモ,2
20220513,宮島沼,オナガガモ,13
20210916,ウトナイ湖,オナガガモ,1
20210925,ウトナイ湖,オナガガモ,100
20211014,ウトナイ湖,オナガガモ,18
20211028,ウトナイ湖,オナガガモ,8
20211104,ウトナイ湖,オナガガモ,6
20211118,ウトナイ湖,オナガガモ,2
20211202,ウトナイ湖,オナガガモ,1
20220317,ウトナイ湖,オナガガモ,720
20220325,ウトナイ湖,オナガガモ,660
20220410,ウトナイ湖,オナガガモ,9
20220426,ウトナイ湖,オナガガモ,4
20210902,濤沸湖,オナガガモ,17
20210915,濤沸湖,オナガガモ,276
20210924,濤沸湖,オナガガモ,1028
20211006,濤沸湖,オナガガモ,559
20211014,濤沸湖,オナガガモ,620
20211028,濤沸湖,オナガガモ,10
20211106,濤沸湖,オナガガモ,194
20211116,濤沸湖,オナガガモ,18
20211125,濤沸湖,オナガガモ,49
20211208,濤沸湖,オナガガモ,9
20211216,濤沸湖,オナガガモ,47
20211223,濤沸湖,オナガガモ,4
20220309,濤沸湖,オナガガモ,5
20220317,濤沸湖,オナガガモ,10
20220330,濤沸湖,オナガガモ,20
20220408,濤沸湖,オナガガモ,61
20220414,濤沸湖,オナガガモ,89
20220427,濤沸湖,オナガガモ,94
20220507,濤沸湖,オナガガモ,49
20210923,野付半島・野付湾,オナガガモ,1
20220403,野付半島・野付湾,オナガガモ,200
20220413,野付半島・野付湾,オナガガモ,2
20220424,野付半島・野付湾,オナガガモ,273
20210907,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オナガガモ,197
20211007,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オナガガモ,36
20211020,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オナガガモ,150
20211029,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オナガガモ,461
20211117,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オナガガモ,138
20211129,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オナガガモ,101
20211207,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オナガガモ,364
20211216,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オナガガモ,642
20211229,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オナガガモ,56
20220109,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オナガガモ,32
20220120,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オナガガモ,12
20220218,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オナガガモ,19
20220226,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オナガガモ,9
20220311,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オナガガモ,48
20220318,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オナガガモ,33
20220417,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オナガガモ,152
20220429,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オナガガモ,681
20220507,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オナガガモ,153
20220519,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オナガガモ,3
20210912,厚岸・別寒辺牛・霧多布（琵琶瀬川下流）,オナガガモ,15
20210926,厚岸・別寒辺牛・霧多布（琵琶瀬川下流）,オナガガモ,408
20211003,厚岸・別寒辺牛・霧多布（琵琶瀬川下流）,オナガガモ,900
