調査年月,調査地名,数
202109,出水・高尾野,0
202110,出水・高尾野,0
202111,出水・高尾野,0
202112,出水・高尾野,0
202201,出水・高尾野,0
202202,出水・高尾野,0
202203,出水・高尾野,0
202204,出水・高尾野,0
202205,出水・高尾野,0
202109,霧島,0
202110,霧島,0
202111,霧島,0
202112,霧島,0
202201,霧島,0
202202,霧島,0
202203,霧島,0
202204,霧島,0
202205,霧島,0
202109,中海,0
202110,中海,0
202111,中海,0
202112,中海,0
202201,中海,0
202202,中海,0
202203,中海,0
202204,中海,0
202205,中海,0
202109,浜甲子園,0
202110,浜甲子園,0
202111,浜甲子園,0
202112,浜甲子園,0
202201,浜甲子園,0
202202,浜甲子園,0
202203,浜甲子園,0
202204,浜甲子園,0
202205,浜甲子園,0
202109,片野鴨池,0
202110,片野鴨池,0
202111,片野鴨池,0
202112,片野鴨池,0
202201,片野鴨池,0
202202,片野鴨池,0
202203,片野鴨池,0
202204,片野鴨池,0
202205,片野鴨池,0
202109,藤前干潟,0
202110,藤前干潟,0
202111,藤前干潟,0
202112,藤前干潟,0
202201,藤前干潟,0
202202,藤前干潟,0
202203,藤前干潟,0
202204,藤前干潟,0
202205,藤前干潟,0
202109,佐潟,0
202110,佐潟,11
202111,佐潟,323
202112,佐潟,484
202201,佐潟,624
202202,佐潟,540
202203,佐潟,0
202204,佐潟,0
202205,佐潟,0
202109,大山上池・下池,0
202110,大山上池・下池,41
202111,大山上池・下池,80
202112,大山上池・下池,14
202201,大山上池・下池,83
202202,大山上池・下池,48
202203,大山上池・下池,16
202204,大山上池・下池,0
202205,大山上池・下池,0
202109,谷津,0
202110,谷津,0
202111,谷津,0
202112,谷津,0
202201,谷津,0
202202,谷津,0
202203,谷津,0
202204,谷津,0
202205,谷津,0
202109,大潟草原,0
202110,大潟草原,118
202111,大潟草原,652
202112,大潟草原,345
202201,大潟草原,49
202202,大潟草原,52
202203,大潟草原,30
202204,大潟草原,1
202205,大潟草原,0
202109,小湊,0
202110,小湊,38
202111,小湊,24
202112,小湊,211
202201,小湊,682
202202,小湊,507
202203,小湊,194
202204,小湊,36
202205,小湊,0
202109,伊豆沼,0
202110,伊豆沼,696
202111,伊豆沼,7875
202112,伊豆沼,9893
202201,伊豆沼,8719
202202,伊豆沼,7175
202203,伊豆沼,85
202204,伊豆沼,0
202205,伊豆沼,0
202109,ウトナイ湖,7
202110,ウトナイ湖,205
202111,ウトナイ湖,63
202112,ウトナイ湖,44
202201,ウトナイ湖,45
202202,ウトナイ湖,20
202203,ウトナイ湖,36
202204,ウトナイ湖,4
202205,ウトナイ湖,0
202109,宮島沼,0
202110,宮島沼,23
202111,宮島沼,102
202112,宮島沼,30
202201,宮島沼,0
202202,宮島沼,0
202203,宮島沼,0
202204,宮島沼,467
202205,宮島沼,4
202109,浜頓別クッチャロ湖,0
202110,浜頓別クッチャロ湖,5
202111,浜頓別クッチャロ湖,0
202112,浜頓別クッチャロ湖,25
202201,浜頓別クッチャロ湖,14
202202,浜頓別クッチャロ湖,17
202203,浜頓別クッチャロ湖,108
202204,浜頓別クッチャロ湖,106
202205,浜頓別クッチャロ湖,0
202109,濤沸湖,0
202110,濤沸湖,3
202111,濤沸湖,30
202112,濤沸湖,33
202201,濤沸湖,141
202202,濤沸湖,70
202203,濤沸湖,13
202204,濤沸湖,6
202205,濤沸湖,0
202109,厚岸・別寒辺牛・霧多布,0
202110,厚岸・別寒辺牛・霧多布,0
202111,厚岸・別寒辺牛・霧多布,0
202112,厚岸・別寒辺牛・霧多布,0
202201,厚岸・別寒辺牛・霧多布,0
202202,厚岸・別寒辺牛・霧多布,0
202203,厚岸・別寒辺牛・霧多布,0
202204,厚岸・別寒辺牛・霧多布,0
202205,厚岸・別寒辺牛・霧多布,0
